MV1_DATE,TERM,Mid_Market_Rate
5/15/26,ON,3.56
5/15/26,1W,3.593
5/15/26,2W,3.594
5/15/26,3W,3.595
5/15/26,1M,3.603
5/15/26,2M,3.624
5/15/26,3M,3.641
5/15/26,4M,3.656
5/15/26,5M,3.672
5/15/26,6M,3.691
5/15/26,9M,3.759
5/15/26,1Y,3.829
5/15/26,18M,3.892
5/15/26,2Y,3.925
5/15/26,3Y,3.933
5/15/26,5Y,3.971
5/15/26,10Y,4.166
5/15/26,20Y,4.416
5/15/26,30Y,4.378
5/14/26,ON,3.56
5/14/26,1W,3.604
5/14/26,2W,3.605
5/14/26,3W,3.606
5/14/26,1M,3.608
5/14/26,2M,3.627
5/14/26,3M,3.64
5/14/26,4M,3.651
5/14/26,5M,3.667
5/14/26,6M,3.683
5/14/26,9M,3.738
5/14/26,1Y,3.792
5/14/26,18M,3.821
5/14/26,2Y,3.831
5/14/26,3Y,3.819
5/14/26,5Y,3.839
5/14/26,10Y,4.041
5/14/26,20Y,4.308
5/14/26,30Y,4.276
5/13/26,ON,3.59
5/13/26,1W,3.623
5/13/26,2W,3.624
5/13/26,3W,3.625
5/13/26,1M,3.627
5/13/26,2M,3.639
5/13/26,3M,3.649
5/13/26,4M,3.657
5/13/26,5M,3.671
5/13/26,6M,3.686
5/13/26,9M,3.736
5/13/26,1Y,3.789
5/13/26,18M,3.818
5/13/26,2Y,3.829
5/13/26,3Y,3.816
5/13/26,5Y,3.842
5/13/26,10Y,4.055
5/13/26,20Y,4.329
5/13/26,30Y,4.299
5/12/26,ON,3.6
5/12/26,1W,3.624
5/12/26,2W,3.625
5/12/26,3W,3.626
5/12/26,1M,3.628
5/12/26,2M,3.64
5/12/26,3M,3.65
5/12/26,4M,3.658
5/12/26,5M,3.67
5/12/26,6M,3.685
5/12/26,9M,3.736
5/12/26,1Y,3.79
5/12/26,18M,3.824
5/12/26,2Y,3.832
5/12/26,3Y,3.816
5/12/26,5Y,3.837
5/12/26,10Y,4.046
5/12/26,20Y,4.319
5/12/26,30Y,4.288
5/11/26,ON,3.6
5/11/26,1W,3.623
5/11/26,2W,3.624
5/11/26,3W,3.625
5/11/26,1M,3.628
5/11/26,2M,3.638
5/11/26,3M,3.646
5/11/26,4M,3.654
5/11/26,5M,3.664
5/11/26,6M,3.677
5/11/26,9M,3.718
5/11/26,1Y,3.761
5/11/26,18M,3.777
5/11/26,2Y,3.778
5/11/26,3Y,3.76
5/11/26,5Y,3.784
5/11/26,10Y,4.002
5/11/26,20Y,4.285
5/11/26,30Y,4.259
5/8/26,ON,3.6
5/8/26,1W,3.631
5/8/26,2W,3.632
5/8/26,3W,3.633
5/8/26,1M,3.635
5/8/26,2M,3.64
5/8/26,3M,3.643
5/8/26,4M,3.647
5/8/26,5M,3.653
5/8/26,6M,3.661
5/8/26,9M,3.691
5/8/26,1Y,3.727
5/8/26,18M,3.733
5/8/26,2Y,3.729
5/8/26,3Y,3.705
5/8/26,5Y,3.735
5/8/26,10Y,3.959
5/8/26,20Y,4.245
5/8/26,30Y,4.222
5/7/26,ON,3.6
5/7/26,1W,3.631
5/7/26,2W,3.632
5/7/26,3W,3.633
5/7/26,1M,3.635
5/7/26,2M,3.642
5/7/26,3M,3.647
5/7/26,4M,3.651
5/7/26,5M,3.659
5/7/26,6M,3.669
5/7/26,9M,3.705
5/7/26,1Y,3.748
5/7/26,18M,3.761
5/7/26,2Y,3.757
5/7/26,3Y,3.733
5/7/26,5Y,3.76
5/7/26,10Y,3.979
5/7/26,20Y,4.258
5/7/26,30Y,4.23
5/6/26,ON,3.61
5/6/26,1W,3.634
5/6/26,2W,3.635
5/6/26,3W,3.636
5/6/26,1M,3.638
5/6/26,2M,3.643
5/6/26,3M,3.648
5/6/26,4M,3.65
5/6/26,5M,3.655
5/6/26,6M,3.661
5/6/26,9M,3.69
5/6/26,1Y,3.725
5/6/26,18M,3.723
5/6/26,2Y,3.714
5/6/26,3Y,3.684
5/6/26,5Y,3.719
5/6/26,10Y,3.944
5/6/26,20Y,4.225
5/6/26,30Y,4.201
5/5/26,ON,3.62
5/5/26,1W,3.636
5/5/26,2W,3.637
5/5/26,3W,3.638
5/5/26,1M,3.64
5/5/26,2M,3.646
5/5/26,3M,3.651
5/5/26,4M,3.654
5/5/26,5M,3.661
5/5/26,6M,3.672
5/5/26,9M,3.716
5/5/26,1Y,3.766
5/5/26,18M,3.784
5/5/26,2Y,3.778
5/5/26,3Y,3.746
5/5/26,5Y,3.775
5/5/26,10Y,3.986
5/5/26,20Y,4.257
5/5/26,30Y,4.217
5/4/26,ON,3.63
5/4/26,1W,3.636
5/4/26,2W,3.637
5/4/26,3W,3.638
5/4/26,1M,3.641
5/4/26,2M,3.648
5/4/26,3M,3.654
5/4/26,4M,3.661
5/4/26,5M,3.669
5/4/26,6M,3.68
5/4/26,9M,3.729
5/4/26,1Y,3.781
5/4/26,18M,3.803
5/4/26,2Y,3.797
5/4/26,3Y,3.765
5/4/26,5Y,3.793
5/4/26,10Y,4.008
5/4/26,20Y,4.281
5/4/26,30Y,4.247
5/1/26,ON,3.64
5/1/26,1W,3.639
5/1/26,2W,3.641
5/1/26,3W,3.642
5/1/26,1M,3.644
5/1/26,2M,3.649
5/1/26,3M,3.654
5/1/26,4M,3.659
5/1/26,5M,3.663
5/1/26,6M,3.668
5/1/26,9M,3.694
5/1/26,1Y,3.729
5/1/26,18M,3.733
5/1/26,2Y,3.72
5/1/26,3Y,3.69
5/1/26,5Y,3.722
5/1/26,10Y,3.939
5/1/26,20Y,4.22
5/1/26,30Y,4.189
4/30/26,ON,3.66
4/30/26,1W,3.639
4/30/26,2W,3.642
4/30/26,3W,3.644
4/30/26,1M,3.646
4/30/26,2M,3.652
4/30/26,3M,3.657
4/30/26,4M,3.66
4/30/26,5M,3.664
4/30/26,6M,3.669
4/30/26,9M,3.692
4/30/26,1Y,3.725
4/30/26,18M,3.728
4/30/26,2Y,3.715
4/30/26,3Y,3.684
4/30/26,5Y,3.716
4/30/26,10Y,3.942
4/30/26,20Y,4.226
4/30/26,30Y,4.198
4/29/26,ON,3.63
