state,n_days,feature,mean,variance
1,138,level,0.6312,0.0219
1,138,term_slope,0.5848,0.0377
1,138,butterfly,-0.1396,0.0001
1,138,level_abs_daily_move_90d_mean,0.0204,0.0
2,497,level,3.9956,0.1017
2,497,term_slope,-1.5346,0.0665
2,497,butterfly,-0.6411,0.0271
2,497,level_abs_daily_move_90d_mean,0.0395,0.0
3,410,level,3.9679,0.0121
3,410,term_slope,-0.292,0.0952
3,410,butterfly,-0.3692,0.0233
3,410,level_abs_daily_move_90d_mean,0.0276,0.0
4,191,level,2.7415,0.4133
4,191,term_slope,0.5603,0.6955
4,191,butterfly,0.3565,0.1178
4,191,level_abs_daily_move_90d_mean,0.0459,0.0
5,271,level,1.1061,0.024
5,271,term_slope,1.267,0.0234
5,271,butterfly,0.1959,0.0464
5,271,level_abs_daily_move_90d_mean,0.024,0.0
